Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date,Topic,Sentiment,Sub_Topic
Kenya,Lamu,"Equity Bank, Lamu Branch",Not available,"Pwj2+Wx8, Lamu, Kenya",not available,Dudu Villas & Cottages,5,NAN,2019-06-29,0,https://www.google.com/maps/contrib/104315765074012717376/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Meru,"Barclays Bank Meru,",+254 64 30187,"2Mx4+3Cq, Meru, Kenya",not available,David Kiria,3,NAN,2017-06-29,0,https://www.google.com/maps/contrib/117242629774514459302/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Kenya,Nakuru,Standard Chartered Bank Nakuru,+254 20 3293900,"59 Kenyatta Ave, Nakuru, Kenya",standardchartered.com,Angeline Kahiga,1,NAN,2021-06-28,0,https://www.google.com/maps/contrib/100603418230130471124/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Kenya,Bungoma,Bank Of Africa Bungoma Branch,+254 20 3275000,"New Nyanza Hardware, Moi Avenue, Bungoma, Kenya",not available,Mildred Wekesa,3,NAN,2016-06-29,0,https://www.google.com/maps/contrib/107337552913803778856/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Kenya,Eldoret,Standard Chartered Bank Eldoret Branch,+254 53 2063825,"Kenyatta Street, Kenyatta Ave, Eldoret, Kenya",standardchartered.com,Naphtally Githinji,5,NAN,2017-06-29,0,https://www.google.com/maps/contrib/117797783145673335645/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Webuye,Kcb Bank Webuye Branch,Not available,"Jq3J+5Hp, Webuye, Kenya",not available,Omari Salim,3,Lieu bancaire sympa,2019-06-29,0,https://www.google.com/maps/contrib/105895859165541903254/reviews?hl=fr,,0000-00-00,Lieu agréable,Positive,"['sympa', 'agréable']"
Kenya,Webuye,Kcb Bank Webuye Branch,Not available,"Jq3J+5Hp, Webuye, Kenya",not available,Omari Salim,3,Lieu bancaire sympa,2019-06-29,0,https://www.google.com/maps/contrib/105895859165541903254/reviews?hl=fr,,0000-00-00,Équipe de banque,Negative,"['lente', 'déraisonnable']"
Kenya,Webuye,Kcb Bank Webuye Branch,Not available,"Jq3J+5Hp, Webuye, Kenya",not available,Omari Salim,3,Lieu bancaire sympa,2019-06-29,0,https://www.google.com/maps/contrib/105895859165541903254/reviews?hl=fr,,0000-00-00,Tarif,Neutre,[]
Kenya,Webuye,Kcb Bank Webuye Branch,Not available,"Jq3J+5Hp, Webuye, Kenya",not available,Omari Salim,3,Lieu bancaire sympa,2019-06-29,0,https://www.google.com/maps/contrib/105895859165541903254/reviews?hl=fr,,0000-00-00,Présence d'un guichet,Positive,"['présent', 'commode']"
Kenya,Webuye,Kcb Bank Webuye Branch,Not available,"Jq3J+5Hp, Webuye, Kenya",not available,Omari Salim,3,Lieu bancaire sympa,2019-06-29,0,https://www.google.com/maps/contrib/105895859165541903254/reviews?hl=fr,,0000-00-00,Accès,Positive,"['facile', 'rapid']"
Kenya,Malindi,First Community Bank-Malindi Branch,+254 41 2002166,"Lamu Road, Malindi Complex, Malindi, Kenya",not available,Munir Sumar,3,Première banque communautaire... au complexe Malindi... Lamu Road,2020-06-28,0,https://www.google.com/maps/contrib/111705786230698567332/reviews?hl=fr,,0000-00-00,Première banque communautaire,Positive,['au complexe Malindi']
Kenya,Malindi,First Community Bank-Malindi Branch,+254 41 2002166,"Lamu Road, Malindi Complex, Malindi, Kenya",not available,Munir Sumar,3,Première banque communautaire... au complexe Malindi... Lamu Road,2020-06-28,0,https://www.google.com/maps/contrib/111705786230698567332/reviews?hl=fr,,0000-00-00,Banque,Positive,['communautaire']
Kenya,Malindi,First Community Bank-Malindi Branch,+254 41 2002166,"Lamu Road, Malindi Complex, Malindi, Kenya",not available,Munir Sumar,3,Première banque communautaire... au complexe Malindi... Lamu Road,2020-06-28,0,https://www.google.com/maps/contrib/111705786230698567332/reviews?hl=fr,,0000-00-00,Lamu Road,Neutral,[]
Kenya,Nanyuki,Standard Chartered Bank - Nanyuki Branch,+254 62 2031173,"Laikipia East, Lumumba Rd, Nanyuki, Kenya",standardchartered.com,Tim Kim,4,NAN,2018-06-29,0,https://www.google.com/maps/contrib/108979375744537973120/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Nairobi,Bank Of Baroda Nairobi Main Branch,+254 20 2220575,"Baroda House, Nairobi Main Office, 29 Koinange Street, Nairobi City, Kenya",bankofbarodakenya.co.ke,Sam Rj,1,NAN,2016-06-29,0,https://www.google.com/maps/contrib/107637601443664601712/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Kenya,Kisumu,Standard Chartered Bank Kenya Ltd-Kisumu City,+254 57 2022178,"1St Flr ,Tuffoam Mall, Kisumu,Market, Kisumu, Kenya",sc.com,Qairos Travel,5,NAN,2021-06-28,0,https://www.google.com/maps/contrib/115364870429913096156/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Kenya,Mumias,Kcb Mumias,+254 736 327541,"Kcb Mumias Building Mumias Musanda, Rd, Mumias, Kenya",not available,Reagan Palmer,5,NAN,2019-06-29,0,https://www.google.com/maps/contrib/105241027090257352210/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Ouidah,Uba Agence Ouidah,Not available,"935P+Cv9, Rue Van Vollenhoven, Ouidah, Bénin",not available,Isabelle Yehouenou,2,NAN,2021-06-28,0,https://www.google.com/maps/contrib/108435614530477887355/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Bénin,Ouidah,Uba Agence Ouidah,Not available,"935P+Cv9, Rue Van Vollenhoven, Ouidah, Bénin",not available,Isabelle Yehouenou,2,NAN,2021-06-28,0,https://www.google.com/maps/contrib/108435614530477887355/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Bénin,Ouidah,Bureau De Poste De Ouidah,+229 61 33 28 44,"Ouidah, Bénin",laposte.bj,Maria 12 Kangni,1,Cette poste est bon et adorable,2023-10-31,0,https://www.google.com/maps/contrib/108261342480601284118/reviews?hl=fr,,0000-00-00,adore,Positive,"['cute', 'adorable']"
Bénin,Ouidah,Bureau De Poste De Ouidah,+229 61 33 28 44,"Ouidah, Bénin",laposte.bj,Maria 12 Kangni,1,Cette poste est bon et adorable,2023-10-31,0,https://www.google.com/maps/contrib/108261342480601284118/reviews?hl=fr,,0000-00-00,bon,Positive,"['great', 'good']"
Bénin,Ouidah,Ecobank Godomey Ouidah,+229 21 35 45 89,"Rnie1, Godomey, Bénin",ecobank.com,Kevin Ablou,5,NAN,2021-06-28,0,https://www.google.com/maps/contrib/115831774595712045871/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Ouidah,Ecobank Godomey Ouidah,+229 21 35 45 89,"Rnie1, Godomey, Bénin",ecobank.com,Kevin Ablou,5,NAN,2021-06-28,0,https://www.google.com/maps/contrib/115831774595712045871/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Cové,Clcam/Cove,+229 22 50 08 38,"68Cq+8Vq, Rnie4, Cove, Bénin",not available,Perpetue Adjahossou,5,NAN,2019-06-29,0,https://www.google.com/maps/contrib/109168907409135852762/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Cové,Ccei Bank Agence Ganhi,+229 21 36 59 10,"9C3Q+M6F, Cotonou, Bénin",cceibankbenin.com,Julien Houangni,5,NAN,2020-06-28,0,https://www.google.com/maps/contrib/105819122026079790411/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Cové,Ccei Bank,+229 21 36 59 10,"Marché Ganhi, Rue 2650, Cotonou, Bénin",cceibankbenin.com,Lukman Abiodun Oduntan,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/107009849017543621698/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Cové,Cbao Saint Michel,+229 21 36 59 02,"9C7G+Pc5, Boulevard Saint Michel, Cotonou, Bénin",not available,Boris Hounkpatin,1,NAN,2018-06-29,0,https://www.google.com/maps/contrib/107130408256314206762/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Bénin,Cové,Ecobank Bénin,+229 21 31 40 23,"Rue 232, Cotonou, Bénin",ecobank.com,Patrick Yadjemi,3,NAN,2015-06-30,0,https://www.google.com/maps/contrib/112943603722096541763/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Bénin,Cové,Banque Internationale Pour L'Industrie Et Le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,NAN,2017-06-29,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Cové,Boa Benin (Bank Of Africa) - Agence Centrale,+229 21 31 32 28,"9C2J+Rrc Benin City, Ave Jean-Paul Ii, Cotonou, Bénin",bank-of-africa.net,Gylnex Sotchenou,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/115162508530295794961/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Cové,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",societegenerale.bj,Clément Labintan,3,NAN,2016-06-29,0,https://www.google.com/maps/contrib/110030064409354194448/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Bénin,Natitingou,Ecobank Natitingou,+229 23 82 02 34,"La Gare Routière, Rnie3, A Côté De, Natitinqou, Bénin",ecobank.com,Youssoufou Traore,4,excellent,2023-06-28,0,https://www.google.com/maps/contrib/112874544210455099579/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Natitingou,Ecobank Natitingou,+229 23 82 02 34,"La Gare Routière, Rnie3, A Côté De, Natitinqou, Bénin",ecobank.com,Youssoufou Traore,4,excellent,2023-06-28,0,https://www.google.com/maps/contrib/112874544210455099579/reviews?hl=fr,,0000-00-00,Excellence,Positive,"['excellent', 'très bon']"
Bénin,Natitingou,Cnss Natitingou,Not available,"895H+4V2, Natitinqou, Bénin",not available,Gildas Sotire,4,⭐⭐⭐⭐,2021-06-28,1,https://www.google.com/maps/contrib/111072178179531998259/reviews?hl=fr,,0000-00-00,ouverture de compte,Positive,['rapidite']
Bénin,Natitingou,Cnss Natitingou,Not available,"895H+4V2, Natitinqou, Bénin",not available,Gildas Sotire,4,⭐⭐⭐⭐,2021-06-28,1,https://www.google.com/maps/contrib/111072178179531998259/reviews?hl=fr,,0000-00-00,prise en charge des frais,Negative,['coûteux']
Bénin,Natitingou,Cnss Natitingou,Not available,"895H+4V2, Natitinqou, Bénin",not available,Gildas Sotire,4,⭐⭐⭐⭐,2021-06-28,1,https://www.google.com/maps/contrib/111072178179531998259/reviews?hl=fr,,0000-00-00,service des entreprises,Neutral,[]
Bénin,Natitingou,Bureau De Poste Natitingou,+229 96 19 15 44,"Natitinqou, Bénin",laposte.bj,Alaza Azi,5,NAN,2024-01-29,0,https://www.google.com/maps/contrib/109255603661456896316/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Diamond Bank Agence Porto Novo,+229 21 31 98 02,"Porto Novo, Quartier Avakpa, Arrond. De Djassin, 01 Bp 955, Porto-Novo 10000, Bénin",not available,Rach Belle,3,NAN,2018-06-29,0,https://www.google.com/maps/contrib/114428890542695359390/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Bénin,Porto-Novo,Ecobank Porto-Novo,+229 20 21 50 03,"Porto-Novo, Bénin",ecobank.com,Asaï Obed Tchabi,4,NAN,2018-06-29,0,https://www.google.com/maps/contrib/112926972292016619664/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Ecobank Porto-Novo,+229 20 21 50 03,"Porto-Novo, Bénin",ecobank.com,Asaï Obed Tchabi,4,NAN,2018-06-29,0,https://www.google.com/maps/contrib/112926972292016619664/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Bank Of Africa,+229 21 31 32 28,"1Er Arrondissement, Bénin",not available,Adossou Carmel Koffi Rodolphe,5,NAN,2023-06-28,0,https://www.google.com/maps/contrib/108667851936158203104/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Western Union,Not available,"Fjwh+Pgx, Porto-Novo, Bénin",not available,༒Ghost Friends ༒ ༒Familia Bigo Live༒,1,NAN,2018-06-29,0,https://www.google.com/maps/contrib/101348618831265999378/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Bénin,Porto-Novo,Africabourse Portonovo,+229 63 60 74 66,"Fjhm+X6R, Intersection Lycée Toffa 1Er 2, Porto-Novo, Bénin",africabourse.com,Nella Elielle,1,NAN,2024-02-28,0,https://www.google.com/maps/contrib/110005808341748187511/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Bénin,Porto-Novo,Orabank,+229 20 22 22 66,"Fjmc+W67, Porto-Novo, Bénin",orabank.net,Ange Raveloarinjato,4,NAN,2022-06-28,0,https://www.google.com/maps/contrib/112995852450468890041/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Diamond Bank Avakpa,Not available,"Fjj6+R9H, Porto-Novo, Bénin",not available,Cadnel Agondanou,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/111480752524238036933/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Diamond Bank Avakpa,Not available,"Fjj6+R9H, Porto-Novo, Bénin",not available,Cadnel Agondanou,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/111480752524238036933/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Padme Agence Porto-Novo,+229 20 21 34 95,"Fjgc+J5H 3Ème Arrondissement, Porto-Novo, Bénin",not available,Ronald Fandohan,5,NAN,2019-06-29,0,https://www.google.com/maps/contrib/108858600835576435162/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Iamd-Microfinance,+33 7 56 88 93 03,"Gjc5+Fgf Residences Les Palmiers, Porto-Novo, Bénin",not available,Zêdêm Free,5,NAN,2022-06-28,0,https://www.google.com/maps/contrib/109934912902957796304/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Atlantique Banque,+229 62 40 40 19,"994J+Q28, Rue 2100, Cotonou, Bénin",not available,Harvey Azanhoue,5,NAN,2022-06-28,0,https://www.google.com/maps/contrib/104592052808097044286/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Atlantique Banque,+229 62 40 40 19,"994J+Q28, Rue 2100, Cotonou, Bénin",not available,Harvey Azanhoue,5,NAN,2022-06-28,0,https://www.google.com/maps/contrib/104592052808097044286/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Porto-Novo,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+Gm2, Rue De La Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,NAN,2018-06-29,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Bénin,Porto-Novo,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+Gm2, Rue De La Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,NAN,2018-06-29,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Bénin,Bembèrèkè,Clcam Bembereke,+229 66 39 15 92,"6Mf7+847, Bembéréké, Bénin",not available,Toussaint Fagnon,4,NAN,2023-06-28,0,https://www.google.com/maps/contrib/108106463415317610899/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Bembèrèkè,Idc Service,+229 96 65 46 94,"6Mf7+9Pf, Bembéréké, Bénin",not available,Sebastien Dada,3,NAN,2018-06-29,0,https://www.google.com/maps/contrib/106795126620693832330/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Bénin,Bembèrèkè,Ccei Bank Agence Ganhi,+229 21 36 59 10,"9C3Q+M6F, Cotonou, Bénin",cceibankbenin.com,Julien Houangni,5,NAN,2020-06-28,0,https://www.google.com/maps/contrib/105819122026079790411/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Bembèrèkè,Ccei Bank Agence Ganhi,+229 21 36 59 10,"9C3Q+M6F, Cotonou, Bénin",cceibankbenin.com,Julien Houangni,5,NAN,2020-06-28,0,https://www.google.com/maps/contrib/105819122026079790411/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Bembèrèkè,Ecobank Bénin,+229 21 31 40 23,"Rue 232, Cotonou, Bénin",ecobank.com,Patrick Yadjemi,3,NAN,2015-06-30,0,https://www.google.com/maps/contrib/112943603722096541763/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Bénin,Bembèrèkè,Société Générale Bénin,+229 21 31 83 00,"Ave Clozel, Cotonou, Bénin",societegenerale.bj,Clément Labintan,3,NAN,2016-06-29,0,https://www.google.com/maps/contrib/110030064409354194448/reviews?hl=fr,,0000-00-00,Expérience,Neutral,[]
Bénin,Bembèrèkè,Uba Cocotiers,+229 21 31 24 24,"993X+Fgp, Rte De L'Aéroport, Cotonou, Bénin",ubagroup.com,Ibrahim Afridi,4,NAN,2015-06-30,0,https://www.google.com/maps/contrib/114912702593635375161/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Bembèrèkè,Sonibank Agence Ganhi,+229 21 31 21 89,"Centre Kodeih Nº9, Rue Du Gouverneur Bayol, Cotonou, Bénin",not available,Isabelle Queen,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/107977443767827842373/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Bembèrèkè,Banque Atlantique Agence Ganhi,+229 21 31 10 18,"9C3P+Gm2, Rue De La Poste, Cotonou, Bénin",banqueatlantique.net,Tatiana Samson,1,NAN,2018-06-29,0,https://www.google.com/maps/contrib/103720179264727720119/reviews?hl=fr,,0000-00-00,Expérience,Negative,[]
Bénin,Bembèrèkè,Banque Atlantique Agence Parakou,Not available,"Cinema, Rte De Transa, Parakou, Bénin",not available,Thierry Tobossi,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/106242779399685873165/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Bembèrèkè,Banque Internationale Pour L'Industrie Et Le Commerce,+229 21 31 22 00,"Boulevard Saint Michel, Cotonou, Bénin",biic-bank.com,Herman Hedokingbe,5,NAN,2017-06-29,0,https://www.google.com/maps/contrib/115309133299711002708/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Bembèrèkè,Bceao,+229 21 36 46 00,"9C3G+6Jv, Cotonou, Bénin",not available,Conrad Glonou,5,NAN,2018-06-29,0,https://www.google.com/maps/contrib/101172451881330539259/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Djougou,Ecobank Agence Djougou,+229 23 80 17 30,"Rnie6, Immeuble Coop, Djougou, Bénin",ecobank.com,Hamdane Yirou,4,NAN,2018-06-29,0,https://www.google.com/maps/contrib/112715081506703450979/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Djougou,Clcam Agence Djougou,Not available,"Pm74+Pr6, Djougou, Bénin",not available,Victor Nounagnon,4,NAN,2023-11-30,0,https://www.google.com/maps/contrib/117765726211888898001/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Djougou,Banque Ouest Africaine,Not available,"Pm3C+M67, Djougou, Bénin",not available,Nouroudine Dondja,4,NAN,2019-06-29,0,https://www.google.com/maps/contrib/102082092270017259015/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Djougou,Agence De La Poste De Djougou,+229 61 33 28 67,"Pm59+778, Djougou, Bénin",not available,Ibrahim Abassi,4,Service acceptable,2024-01-29,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,0000-00-00,service acceptable,Positive,['rapide']
Bénin,Djougou,Agence De La Poste De Djougou,+229 61 33 28 67,"Pm59+778, Djougou, Bénin",not available,Ibrahim Abassi,4,Service acceptable,2024-01-29,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,0000-00-00,prise en charge,Positive,['satisfaisante']
Bénin,Djougou,Agence De La Poste De Djougou,+229 61 33 28 67,"Pm59+778, Djougou, Bénin",not available,Ibrahim Abassi,4,Service acceptable,2024-01-29,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,0000-00-00,communication,Neutral,"['claire', 'précise']"
Bénin,Djougou,Agence De La Poste De Djougou,+229 61 33 28 67,"Pm59+778, Djougou, Bénin",not available,Ibrahim Abassi,4,Service acceptable,2024-01-29,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,0000-00-00,moyen de paiement,Negative,"['coûteux', 'inconvenient']"
Bénin,Djougou,Agence De La Poste De Djougou,+229 61 33 28 67,"Pm59+778, Djougou, Bénin",not available,Ibrahim Abassi,4,Service acceptable,2024-01-29,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,0000-00-00,traitement des réclamations,Negative,"['lent', 'inefficace']"
Bénin,Djougou,Agence De La Poste De Djougou,+229 61 33 28 67,"Pm59+778, Djougou, Bénin",not available,Ibrahim Abassi,4,Service acceptable,2024-01-29,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,0000-00-00,Service acceptable,Positive,['rapide']
Bénin,Djougou,Agence De La Poste De Djougou,+229 61 33 28 67,"Pm59+778, Djougou, Bénin",not available,Ibrahim Abassi,4,Service acceptable,2024-01-29,0,https://www.google.com/maps/contrib/113211395139199224168/reviews?hl=fr,,0000-00-00,Qualité du service,Positive,['bonne']
Bénin,Malanville,Ecobank Agence Malanville,+229 23 67 02 33,"Rnie2, Quartier Tassi Tèdji Face Auto Gare, Malanville, Bénin",ecobank.com,Agbatchi Gustave Dossoumou,4,NAN,2021-06-28,0,https://www.google.com/maps/contrib/109714762247329541591/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Malanville,Ecobank Agence Malanville,+229 23 67 02 33,"Rnie2, Quartier Tassi Tèdji Face Auto Gare, Malanville, Bénin",ecobank.com,Agbatchi Gustave Dossoumou,4,NAN,2021-06-28,0,https://www.google.com/maps/contrib/109714762247329541591/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
Bénin,Malanville,Ecobank Agence Malanville,+229 23 67 02 33,"Rnie2, Quartier Tassi Tèdji Face Auto Gare, Malanville, Bénin",ecobank.com,Agbatchi Gustave Dossoumou,4,NAN,2021-06-28,0,https://www.google.com/maps/contrib/109714762247329541591/reviews?hl=fr,,0000-00-00,Expérience,Positive,[]
